"Season","Period","URL","Datetime","Tweet Id","Text","Username","Replies","Retweets","Likes","Location","Followers","Friends","Source"
"season20/21","period2","https://twitter.com/MijnVitesse/status/1353064370985607168","2021-01-23 19:37:39+00:00","1353064370985607168","'90+3 Padt gaat mee naar voren en kopt de bal richting het doel

Rasmussen grijpt goed in

#Vitesse #vitgro","MijnVitesse","0","0","2","Arnhem","69565","293","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"season20/21","period2","https://twitter.com/GDHPostma/status/1353064281676242944","2021-01-23 19:37:18+00:00","1353064281676242944","En nu mag Padt wel! #vitgro #fcgroningen","GDHPostma","0","0","0","Groningen, the Netherlands","425","523","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/jordibeeksma/status/1353064054546341888","2021-01-23 19:36:23+00:00","1353064054546341888","Het is een wonder dat #RKC niet op voorsprong is gekomen na deze minuut. #psvrkc #psv https://t.co/gQcwXLFrSb","jordibeeksma","3","0","2","","758","302","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/psv_fansnl/status/1353063985898086401","2021-01-23 19:36:07+00:00","1353063985898086401","Grote problemen voor PSV: Madueke valt uit met spierblessure https://t.co/ZQ5St4FM4G #PSV https://t.co/IVxbxO2hZl","psv_fansnl","1","0","0","","9946","1910","<a href=""http://www.psvfans.nl"" rel=""nofollow"">psvfans website</a>"
"season20/21","period2","https://twitter.com/GDHPostma/status/1353063964637237248","2021-01-23 19:36:02+00:00","1353063964637237248","Padt wil mee naar voren, maar Buijs roept hem terug 😅 #vitgro #fcgroningen","GDHPostma","1","0","0","Groningen, the Netherlands","425","523","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/OldFootball11/status/1353063955539714054","2021-01-23 19:36:00+00:00","1353063955539714054","#Feyenoord (1970/71). https://t.co/kSkYKBpg7K","OldFootball11","2","7","14","","80426","1918","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/joeysteegh/status/1353063885465477120","2021-01-23 19:35:43+00:00","1353063885465477120","Christos Donis; prima aanwinst! Ik ben benieuwd hoe en op welke manier ze hem willen gaan inpassen. #vvvvenlo https://t.co/TJPrl6gwgP","joeysteegh","3","1","10","Venlo","542","195","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/Maikelvanlanen/status/1353063748743827457","2021-01-23 19:35:11+00:00","1353063748743827457","RKC dicteert en krijgt grote kansen. En dat in Eindhoven. PSV-onwaardig maar het is steeds hetzelfde liedje. Als de tegenstanders beter worden verliest PSV enorm veel punten. #psvrkc #PSV","Maikelvanlanen","0","0","0","Wijchen, Netherlands","113","504","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/harry12630518/status/1353063613863391233","2021-01-23 19:34:38+00:00","1353063613863391233","@PSV wordt in eigen huis even weg gespeeld. HAHA. @aad300 echt een kampioens ploeg he dat #PSV","harry12630518","0","0","0","","9","46","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/Insidevoetbal1/status/1353063590467493889","2021-01-23 19:34:33+00:00","1353063590467493889","Hetgeen wel een zekerheidje is. #PSV heeft twee top keepers! #Unerstall redde PSV tegen Volendam! #Movogo redt PSV tegen RKC! #Psvrkc","Insidevoetbal1","1","0","1","","23","101","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
